epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,17997.7,0.32121,0.43771,0.97326,0.75667,0.69712,0.73805,0.68911,0.19434,0.31497,0.88857,0.002971,0.002971,0.002971
73,18247.2,0.32284,0.43799,0.97731,0.77429,0.69281,0.74088,0.69281,0.19432,0.31468,0.88867,0.002872,0.002872,0.002872
74,18496.6,0.31771,0.43366,0.9759,0.77468,0.69529,0.74204,0.69332,0.19421,0.31446,0.88871,0.002773,0.002773,0.002773
75,18746.7,0.3185,0.42979,0.9744,0.7745,0.68943,0.74199,0.69334,0.1942,0.31381,0.88872,0.002674,0.002674,0.002674
76,18995.9,0.31681,0.43283,0.9744,0.77615,0.68874,0.7416,0.69351,0.19423,0.31342,0.88871,0.002575,0.002575,0.002575
77,19245,0.31208,0.43031,0.96966,0.77795,0.6861,0.74178,0.69441,0.19421,0.31252,0.88872,0.002476,0.002476,0.002476
78,19494.5,0.31279,0.41855,0.97197,0.78269,0.68836,0.74813,0.70011,0.19409,0.31247,0.88863,0.002377,0.002377,0.002377
79,19743,0.31513,0.41606,0.97398,0.78072,0.68656,0.7473,0.69982,0.19366,0.31195,0.88831,0.002278,0.002278,0.002278
80,19992.4,0.31015,0.40964,0.97131,0.7813,0.68443,0.74805,0.7001,0.19366,0.31179,0.88823,0.002179,0.002179,0.002179
81,20241.8,0.31268,0.41082,0.97404,0.78463,0.68345,0.74953,0.70201,0.19356,0.31176,0.88811,0.00208,0.00208,0.00208
82,20490.8,0.30676,0.40524,0.96801,0.79031,0.68323,0.75047,0.70186,0.19351,0.31088,0.88799,0.001981,0.001981,0.001981
83,20739.5,0.30436,0.40007,0.96548,0.7923,0.6843,0.75134,0.70282,0.19348,0.31082,0.88793,0.001882,0.001882,0.001882
84,20988.5,0.30232,0.3992,0.96452,0.79066,0.68486,0.75177,0.70421,0.1934,0.31047,0.8879,0.001783,0.001783,0.001783
85,21237.8,0.30209,0.39249,0.96779,0.78864,0.68521,0.75206,0.70443,0.19329,0.31013,0.88775,0.001684,0.001684,0.001684
86,21486.4,0.2995,0.39566,0.96401,0.78556,0.69133,0.75347,0.70508,0.1933,0.30985,0.8878,0.001585,0.001585,0.001585
87,21735.1,0.29865,0.38591,0.96514,0.7832,0.69216,0.75657,0.70701,0.1931,0.30958,0.88756,0.001486,0.001486,0.001486
88,21983.8,0.30009,0.39025,0.96558,0.79237,0.69069,0.75625,0.70776,0.19297,0.3094,0.88737,0.001387,0.001387,0.001387
89,22232.8,0.29605,0.38047,0.96468,0.79764,0.69011,0.75718,0.70772,0.1929,0.30923,0.88702,0.001288,0.001288,0.001288
90,22481.3,0.29479,0.37338,0.96365,0.80155,0.68779,0.75503,0.70664,0.19271,0.30902,0.88685,0.001189,0.001189,0.001189
91,22729.8,0.19624,0.25154,0.88763,0.80592,0.68535,0.75633,0.7078,0.19256,0.3089,0.88664,0.00109,0.00109,0.00109
92,22977.9,0.19271,0.24075,0.88355,0.80926,0.68465,0.75836,0.70893,0.19231,0.30833,0.88641,0.000991,0.000991,0.000991
93,23225.4,0.19185,0.23173,0.88543,0.81215,0.68538,0.76326,0.71419,0.19211,0.30815,0.88627,0.000892,0.000892,0.000892
94,23473.3,0.18842,0.22058,0.88042,0.81227,0.68461,0.767,0.7175,0.19189,0.3076,0.88602,0.000793,0.000793,0.000793
95,23721.9,0.1866,0.22141,0.87759,0.81043,0.68514,0.76759,0.71839,0.19166,0.30725,0.88579,0.000694,0.000694,0.000694
96,23969.9,0.1844,0.21288,0.87966,0.81111,0.68615,0.76904,0.71979,0.19156,0.30673,0.88568,0.000595,0.000595,0.000595
97,24217.9,0.18112,0.20408,0.87482,0.81249,0.68781,0.76974,0.72044,0.19131,0.30644,0.88547,0.000496,0.000496,0.000496
98,24466.8,0.18023,0.20278,0.87283,0.80939,0.69159,0.77022,0.72091,0.19109,0.30643,0.88523,0.000397,0.000397,0.000397
99,24714.2,0.17978,0.19931,0.87379,0.81784,0.69423,0.77099,0.72175,0.19114,0.30604,0.88536,0.000298,0.000298,0.000298
100,24961.7,0.17791,0.19524,0.87154,0.81838,0.69537,0.77125,0.72225,0.19063,0.30593,0.88482,0.000199,0.000199,0.000199
